total_events,total_sessions,active_days,core_events,payment_status,cluster,gender,is_push_on,ban_status,report_count,alarm_count,pending_chat,pending_votes,friend_id_count,block_user_id_count,hide_user_id_count,class,id,osname,school_grade,province
894,44,15,83.0,False,1,M,0,N,0,0,0,0,63,0,1,8.0,509813,Android,M3.0,Gyeonggi
891,19,8,83.0,True,1,M,1,N,0,0,0,0,46,0,0,4.0,44129,Android,H1.0,Busan
890,112,23,316.0,False,2,F,1,N,0,1,0,17,86,0,0,1.0,2763,iOS,M2.0,Jeonnam
887,72,24,115.0,False,1,M,1,N,1,4,1,32,41,0,1,1.0,136348,Android,M3.0,Gyeonggi
884,46,8,134.0,False,1,M,1,N,0,0,0,0,33,0,0,4.0,1004,Android,H2.0,Gyeongbuk
879,82,21,231.0,False,2,F,1,N,0,0,0,5,25,0,0,7.0,99374,iOS,H2.0,Chungbuk
875,115,24,97.0,False,2,M,1,N,0,0,0,0,34,0,0,4.0,77950,iOS,H1.0,Gyeongbuk
875,67,22,148.0,False,1,F,1,N,0,0,0,31,63,0,0,3.0,22089,iOS,M2.0,Gyeonggi
873,109,24,230.0,False,2,F,1,N,0,2,0,0,30,0,0,7.0,112358,iOS,M2.0,Chungbuk
873,49,23,96.0,False,1,M,1,N,0,0,0,0,48,0,0,1.0,32316,Android,M3.0,Busan
872,71,23,90.0,False,1,F,1,N,0,0,0,0,23,0,2,7.0,33134,iOS,M2.0,Gyeonggi
870,21,13,158.0,False,1,M,1,N,0,0,0,0,76,0,2,2.0,111037,Android,H3.0,Jeonbuk
870,62,9,210.0,False,2,M,0,N,0,0,1,0,65,1,22,5.0,358788,Android,M2.0,Daegu
866,76,21,90.0,False,1,F,1,N,0,0,0,0,26,0,0,1.0,39556,iOS,H3.0,Jeonnam
866,45,15,108.0,False,1,F,1,N,0,0,0,0,29,0,0,2.0,162374,Android,M2.0,Jeonbuk
865,84,22,49.0,False,1,M,0,N,0,0,0,0,54,0,0,2.0,75979,iOS,H1.0,Gyeonggi
864,26,12,148.0,False,1,F,1,N,0,0,0,4,46,0,0,2.0,55637,iOS,M2.0,Gyeonggi
860,94,23,175.0,False,2,M,1,N,0,0,0,9,46,0,0,1.0,495754,iOS,M3.0,Jeonbuk
859,91,20,295.0,False,2,M,1,N,0,0,0,2,30,0,0,1.0,17803,iOS,M3.0,Gyeonggi
859,67,16,149.0,False,1,F,1,N,0,0,0,9,23,0,0,1.0,16294,Android,M2.0,Gyeonggi
858,70,12,248.0,False,2,F,1,N,0,3,0,0,26,0,0,1.0,358292,iOS,M2.0,Gyeongnam
857,100,20,319.0,False,2,F,0,N,0,1,1,0,39,0,0,1.0,14601,iOS,M3.0,Gyeonggi
855,74,24,141.0,False,1,F,1,N,0,0,0,0,78,0,0,9.0,365216,iOS,M3.0,Daejeon
845,83,18,368.0,False,2,M,1,N,0,9,0,7,31,0,0,2.0,182981,iOS,M2.0,Chungbuk
844,66,15,159.0,False,1,F,1,N,0,0,0,32,45,0,0,1.0,46824,Android,M2.0,Chungbuk
840,82,24,32.0,False,1,F,0,N,0,0,0,51,70,0,0,7.0,83030,iOS,M2.0,Chungbuk
840,91,23,43.0,False,1,M,1,N,0,0,0,0,27,0,0,6.0,6221,Android,H2.0,Gyeonggi
839,62,21,45.0,False,1,F,1,N,0,0,0,0,15,0,0,8.0,37666,iOS,H2.0,Gyeongbuk
833,50,19,137.0,False,1,F,1,N,0,0,0,0,35,0,1,1.0,21254,iOS,M3.0,Gyeonggi
832,49,13,193.0,False,1,F,1,N,0,0,0,0,42,0,0,6.0,401348,iOS,H1.0,Gyeonggi
829,26,9,85.0,True,1,M,0,N,0,0,0,14,46,0,0,6.0,255272,iOS,H1.0,Gyeonggi
824,30,16,120.0,False,1,F,1,N,1,0,0,0,64,0,1,1.0,83099,iOS,M3.0,Gyeonggi
820,131,24,149.0,False,2,F,0,N,0,0,0,1,15,0,0,1.0,21939,Android,M2.0,Gyeonggi
820,62,20,87.0,False,1,M,1,N,1,0,0,2,97,0,5,9.0,227623,iOS,M2.0,Gyeonggi
817,44,15,79.0,False,1,M,1,N,1,0,1,2,84,0,0,2.0,148089,Android,H1.0,Seoul
817,74,22,74.0,False,1,M,1,N,0,0,0,25,31,0,0,1.0,50384,iOS,M2.0,Gyeongbuk
815,42,12,192.0,False,1,F,1,W,0,2,0,0,38,0,0,1.0,487613,iOS,M2.0,Gyeongnam
814,71,24,137.0,False,1,M,0,N,0,0,0,0,19,0,1,4.0,32707,iOS,H2.0,Gyeonggi
813,66,23,53.0,False,1,M,1,N,0,0,0,0,54,0,2,4.0,133428,iOS,M2.0,Daejeon
807,97,21,200.0,False,2,M,1,N,0,1,0,0,29,0,0,1.0,23883,Android,M3.0,Gyeonggi
806,109,22,223.0,False,2,F,1,N,0,0,0,23,37,0,0,7.0,15633,iOS,M2.0,Gyeonggi
804,71,20,198.0,False,2,F,1,N,0,1,0,0,55,0,0,1.0,39274,iOS,M2.0,Daegu
803,108,20,101.0,False,2,F,1,N,0,0,0,2,35,0,0,1.0,93231,iOS,M2.0,Chungnam
803,91,18,183.0,False,2,M,1,N,0,0,0,0,48,0,0,2.0,290376,iOS,M2.0,Chungnam
803,63,15,180.0,False,1,M,1,N,0,0,0,205,36,0,3,1.0,9875,Android,M3.0,Gyeonggi
793,75,23,91.0,False,1,M,1,N,0,0,0,0,45,0,0,5.0,464270,iOS,M3.0,Incheon
790,91,22,123.0,False,1,F,1,N,0,0,0,0,26,0,0,5.0,24599,iOS,M3.0,Gyeonggi
790,65,21,253.0,False,2,F,1,N,0,0,4,7,21,0,0,3.0,99219,Android,M2.0,Incheon
788,96,22,149.0,False,2,F,1,N,0,1,0,1,38,0,0,2.0,39951,iOS,M3.0,Chungbuk
786,102,17,134.0,False,2,F,1,N,0,0,0,80,49,0,0,3.0,41985,iOS,M3.0,Chungnam
784,118,23,68.0,False,1,F,0,N,0,0,0,3,46,0,0,4.0,84635,iOS,H1.0,Chungbuk
784,90,22,122.0,False,1,F,0,N,0,0,0,0,95,0,0,4.0,49684,iOS,H1.0,Gyeonggi
784,115,17,47.0,False,1,M,1,N,0,2,0,286,102,0,0,4.0,70251,iOS,M3.0,Gyeonggi
783,21,9,100.0,False,1,M,1,N,0,0,0,0,39,0,0,1.0,192972,iOS,H1.0,Incheon
782,40,14,129.0,False,1,F,1,N,0,0,0,0,31,0,0,4.0,35383,Android,M3.0,Seoul
782,33,19,108.0,False,1,F,1,N,0,0,2,0,42,0,276,1.0,75108,Android,M2.0,Gyeongnam
777,49,16,62.0,False,1,M,1,N,2,0,0,0,57,0,1,2.0,429057,Android,H2.0,Gyeonggi
773,61,14,146.0,False,1,F,1,N,0,2,0,3,29,0,0,1.0,20522,iOS,M3.0,Daegu
772,37,13,86.0,False,1,M,1,N,0,0,0,0,69,0,1,6.0,166125,iOS,H2.0,Jeonnam
771,72,21,136.0,False,1,F,1,N,1,1,0,1,109,0,0,4.0,138382,Android,M2.0,Chungnam
